team,rank,country,level,elo,from,to,league
Koeln,66.0,GER,1,1664.44567871,2023-08-14,2023-08-15,GER-Bundesliga
Braga,67.0,POR,1,1664.36779785,2023-08-14,2023-08-15,
Bournemouth,68.0,ENG,1,1662.55541992,2023-08-14,2023-08-17,ENG-Premier League
Monaco,69.0,FRA,1,1661.68847656,2023-08-14,2023-08-15,FRA-Ligue 1
Galatasaray,70.0,TUR,1,1660.53100586,2023-08-14,2023-08-15,
Twente,71.0,NED,1,1660.04846191,2023-08-14,2023-08-15,
Monza,72.0,ITA,1,1655.7755127,2023-08-14,2023-08-17,ITA-Serie A
Getafe,73.0,ESP,1,1654.77880859,2023-08-14,2023-08-17,ESP-La Liga
Nice,74.0,FRA,1,1654.25964355,2023-08-14,2023-08-15,FRA-Ligue 1
Fenerbahce,75.0,TUR,1,1652.63098145,2023-08-14,2023-08-15,
Udinese,76.0,ITA,1,1652.03674316,2023-08-14,2023-08-17,ITA-Serie A
Mallorca,77.0,ESP,1,1649.64172363,2023-08-14,2023-08-17,ESP-La Liga
Sassuolo,78.0,ITA,1,1649.58825684,2023-08-14,2023-08-17,ITA-Serie A
Celta,79.0,ESP,1,1645.57055664,2023-08-14,2023-08-17,ESP-La Liga
Gent,80.0,BEL,1,1642.13818359,2023-08-14,2023-08-14,
Leeds,81.0,ENG,2,1640.96520996,2023-08-14,2023-08-14,
Hoffenheim,82.0,GER,1,1639.17944336,2023-08-14,2023-08-14,GER-Bundesliga
Sheffield United,83.0,ENG,1,1637.47949219,2023-08-14,2023-08-14,ENG-Premier League
Besiktas,84.0,TUR,1,1637.3371582,2023-08-14,2023-08-14,
Rayo Vallecano,85.0,ESP,1,1637.24743652,2023-08-14,2023-08-14,ESP-La Liga
Rangers,86.0,SCO,1,1637.23461914,2023-08-14,2023-08-14,
Brugge,87.0,BEL,1,1635.65429688,2023-08-14,2023-08-14,
Cadiz,88.0,ESP,1,1634.7857666,2023-08-14,2023-08-14,ESP-La Liga
Celtic,89.0,SCO,1,1630.92858887,2023-08-14,2023-08-15,
Antwerp,90.0,BEL,1,1630.17041016,2023-08-14,2023-08-17,
Stuttgart,91.0,GER,1,1628.8236084,2023-08-14,2023-08-17,GER-Bundesliga
Southampton,92.0,ENG,2,1627.21899414,2023-08-14,2023-08-17,
Empoli,93.0,ITA,1,1626.09338379,2023-08-12,2023-08-17,ITA-Serie A
Granada,94.0,ESP,1,1620.59472656,2023-08-11,2023-08-14,ESP-La Liga
Slavia Praha,95.0,CZE,1,1619.21582031,2023-08-14,2023-08-14,
Dinamo Zagreb,96.0,CRO,1,1617.36816406,2023-08-14,2023-08-15,
Valladolid,97.0,ESP,2,1615.17456055,2023-08-12,2023-08-18,
Genk,98.0,BEL,1,1615.06799316,2023-08-14,2023-08-17,
Levante,99.0,ESP,2,1614.17626953,2023-08-14,2023-08-15,
FC Kobenhavn,100.0,DEN,1,1613.9453125,2023-08-12,2023-08-15,
Espanyol,,ESP,2,1613.32446289,2023-08-14,2023-08-17,
Maccabi Haifa,,ISR,1,1612.02294922,2023-08-11,2023-08-15,
Salernitana,,ITA,1,1610.06152344,2023-06-11,2023-08-20,ITA-Serie A
Strasbourg,,FRA,1,1609.56628418,2023-08-14,2023-08-15,FRA-Ligue 1
Young Boys,,SUI,1,1609.54248047,2023-08-14,2023-08-15,
Bochum,,GER,1,1608.65856934,2023-05-28,2023-08-19,GER-Bundesliga
Verona,,ITA,1,1608.2298584,2023-06-12,2023-08-19,ITA-Serie A
Crvena Zvezda,,SRB,1,1607.85290527,2023-08-12,2023-08-15,
Almeria,,ESP,1,1605.46350098,2023-08-12,2023-08-19,ESP-La Liga
Luton,,ENG,1,1602.34472656,2023-08-13,2023-08-23,ENG-Premier League
Werder,,GER,1,1602.0333252,2023-05-28,2023-08-18,GER-Bundesliga
Shakhtar,,UKR,1,1601.54089355,2023-08-11,2023-08-17,
Alaves,,ESP,1,1598.60144043,2023-07-02,2023-08-14,ESP-La Liga
Montpellier,,FRA,1,1597.9329834,2023-08-14,2023-08-15,FRA-Ligue 1
Genoa,,ITA,1,1597.38317871,2023-07-02,2023-08-19,ITA-Serie A
Frosinone,,ITA,1,1592.14172363,2023-07-02,2023-08-19,ITA-Serie A
Reims,,FRA,1,1590.109375,2023-08-13,2023-08-15,FRA-Ligue 1
Sparta Praha,,CZE,1,1589.4753418,2023-08-13,2023-08-15,
Hamburg,,GER,2,1587.19250488,2023-08-07,2023-08-19,
Sturm Graz,,AUT,1,1587.16955566,2023-08-13,2023-08-15,
Augsburg,,GER,1,1587.16369629,2023-05-28,2023-08-19,GER-Bundesliga
Schalke,,GER,2,1582.3963623,2023-08-06,2023-08-20,
Brest,,FRA,1,1581.9375,2023-08-14,2023-08-15,FRA-Ligue 1
CSKA Moskva,,RUS,1,1580.91320801,2023-08-14,2023-08-19,
Clermont,,FRA,1,1580.85144043,2023-08-14,2023-08-15,FRA-Ligue 1
Lecce,,ITA,1,1579.24304199,2023-06-11,2023-08-20,ITA-Serie A
Coventry,,ENG,2,1578.42614746,2023-08-13,2023-08-19,
Lorient,,FRA,1,1577.94238281,2023-08-13,2023-08-15,FRA-Ligue 1
Las Palmas,,ESP,1,1576.19750977,2023-08-13,2023-08-18,ESP-La Liga
Toulouse,,FRA,1,1574.94274902,2023-08-14,2023-08-15,FRA-Ligue 1
Cagliari,,ITA,1,1572.9453125,2023-07-02,2023-08-21,ITA-Serie A
M Tel Aviv,,ISR,1,1572.17736816,2023-08-11,2023-08-15,
Heidenheim,,GER,1,1568.46240234,2023-07-02,2023-08-19,GER-Bundesliga
Lech,,POL,1,1568.30224609,2023-08-11,2023-08-15,
Anderlecht,,BEL,1,1567.80847168,2023-08-14,2023-08-17,
Elche,,ESP,2,1564.66137695,2023-08-13,2023-08-19,
Karabakh Agdam,,AZE,0,1560.82495117,2023-08-11,2023-08-17,
FC Krasnodar,,RUS,1,1559.37121582,2023-08-13,2023-08-19,
Sparta Rotterdam,,NED,1,1558.66662598,2023-08-13,2023-08-15,
Adana Demirspor,,TUR,1,1558.35974121,2023-08-14,2023-08-15,
Bodoe Glimt,,NOR,1,1557.75512695,2023-08-11,2023-08-15,
Middlesbrough,,ENG,2,1557.61169434,2023-08-13,2023-08-19,
St Pauli,,GER,2,1556.32739258,2023-08-06,2023-08-19,
Molde,,NOR,1,1555.93139648,2023-08-13,2023-08-15,
Darmstadt,,GER,1,1552.38146973,2023-07-02,2023-08-20,GER-Bundesliga
Rakow,,POL,1,1550.92785645,2023-08-12,2023-08-15,
Duesseldorf,,GER,2,1550.02929688,2023-08-06,2023-08-19,
Beer-Sheva,,ISR,1,1549.73925781,2023-08-11,2023-08-15,
Hertha,,GER,2,1548.37255859,2023-08-05,2023-08-19,
Olympiakos,,GRE,1,1548.35534668,2023-08-11,2023-08-15,
Utrecht,,NED,1,1547.44433594,2023-08-13,2023-08-15,
Eibar,,ESP,2,1543.5489502,2023-08-13,2023-08-19,
Spartak Moskva,,RUS,1,1541.63171387,2023-08-12,2023-08-20,
Hajduk,,CRO,1,1540.65478516,2023-08-14,2023-08-15,
Midtjylland,,DEN,1,1540.58947754,2023-08-14,2023-08-15,
AEK,,GRE,1,1540.42956543,2023-08-11,2023-08-15,
Bueyueksehir,,TUR,1,1538.58190918,2023-08-11,2023-08-14,
Oviedo,,ESP,2,1538.42602539,2023-06-01,2023-08-14,
Spezia,,ITA,2,1537.3848877,2023-07-02,2023-08-20,
Swansea,,ENG,2,1536.44360352,2023-08-13,2023-08-19,
Tenerife,,ESP,2,1536.11865234,2023-06-01,2023-08-14,
Millwall,,ENG,2,1535.9263916,2023-08-13,2023-08-20,
West Brom,,ENG,2,1534.25976562,2023-08-13,2023-08-18,
Trabzonspor,,TUR,1,1531.97058105,2023-08-12,2023-08-15,
Cremonese,,ITA,2,1531.13183594,2023-07-02,2023-08-19,
Metz,,FRA,1,1530.37927246,2023-08-14,2023-08-15,FRA-Ligue 1
Andorra CF,,ESP,2,1530.04248047,2023-08-14,2023-08-18,
Watford,,ENG,2,1530.00415039,2023-08-13,2023-08-19,
Blackburn,,ENG,2,1528.65722656,2023-08-13,2023-08-19,
Norwich,,ENG,2,1526.73937988,2023-08-13,2023-08-20,
Nordsjaelland,,DEN,1,1526.26538086,2023-08-14,2023-08-15,
Cercle Brugge,,BEL,1,1525.59533691,2023-08-14,2023-08-17,
Panathinaikos,,GRE,1,1524.59204102,2023-08-11,2023-08-15,
Sunderland,,ENG,2,1519.47436523,2023-08-13,2023-08-19,
Nantes,,FRA,1,1518.76696777,2023-08-14,2023-08-15,FRA-Ligue 1
Sampdoria,,ITA,2,1516.71594238,2023-07-02,2023-08-19,
Guimaraes,,POR,1,1515.9666748,2023-08-14,2023-08-15,
Lugano,,SUI,1,1514.6875,2023-08-14,2023-08-15,
Lok Moskva,,RUS,1,1512.23937988,2023-08-13,2023-08-19,
Zaragoza,,ESP,2,1511.24572754,2023-08-13,2023-08-18,
Vitesse,,NED,1,1510.86901855,2023-08-12,2023-08-15,
Albacete,,ESP,2,1510.52844238,2023-08-14,2023-08-20,
Parma,,ITA,2,1507.48083496,2023-06-11,2023-08-24,
LASK,,AUT,1,1506.05737305,2023-08-13,2023-08-15,
Dynamo Kyiv,,UKR,1,1504.59240723,2023-08-11,2023-08-17,
Santander,,ESP,2,1504.2121582,2023-08-13,2023-08-19,
Bristol City,,ENG,2,1503.76403809,2023-08-13,2023-08-19,
Famalicao,,POR,1,1503.47302246,2023-08-12,2023-08-15,
Huesca,,ESP,2,1501.85266113,2023-08-14,2023-08-21,
Arouca,,POR,1,1500.15856934,2023-08-14,2023-08-15,
Hull,,ENG,2,1499.06140137,2023-08-13,2023-08-19,
Fatih Karaguemruek,,TUR,1,1498.71801758,2023-08-11,2023-08-14,
Zuerich,,SUI,1,1498.0447998,2023-08-13,2023-08-15,
Bari,,ITA,2,1497.84448242,2023-06-12,2023-08-18,
Paderborn,,GER,2,1497.73181152,2023-08-05,2023-08-19,
Konyaspor,,TUR,1,1497.53076172,2023-08-13,2023-08-15,
Preston,,ENG,2,1497.51196289,2023-08-13,2023-08-19,
Auxerre,,FRA,2,1497.3380127,2023-08-13,2023-08-15,
Huddersfield,,ENG,2,1496.81066895,2023-08-13,2023-08-19,
Stoke,,ENG,2,1492.0670166,2023-08-13,2023-08-19,
Charleroi,,BEL,1,1491.57836914,2023-08-14,2023-08-17,
Sheriff Tiraspol,,MOL,0,1491.42199707,2023-08-11,2023-08-17,
PAOK,,GRE,1,1491.3828125,2023-08-11,2023-08-15,
Larnaca,,CYP,0,1489.92358398,2023-08-11,2023-08-15,
Servette,,SUI,1,1488.77172852,2023-08-13,2023-08-15,
StGallen,,SUI,1,1486.11401367,2023-08-13,2023-08-15,
Terek Grozny,,RUS,1,1486.04846191,2023-08-07,2023-08-14,
Rostov,,RUS,1,1485.6673584,2023-08-13,2023-08-19,
Leganes,,ESP,2,1485.11022949,2023-08-14,2023-08-19,
Viktoria Plzen,,CZE,1,1484.62988281,2023-08-14,2023-08-15,
Holstein,,GER,2,1483.51342773,2023-08-06,2023-08-20,
Legia,,POL,1,1481.4708252,2023-08-14,2023-08-15,
Karlsruhe,,GER,2,1481.40734863,2023-08-07,2023-08-18,
Dynamo Moskva,,RUS,1,1481.2578125,2023-08-14,2023-08-19,
Venezia,,ITA,2,1480.38952637,2023-06-11,2023-08-20,
Fuerth,,GER,2,1479.65759277,2023-08-06,2023-08-19,
Le Havre,,FRA,1,1479.59533691,2023-08-14,2023-08-15,FRA-Ligue 1
Gil Vicente,,POR,1,1476.24438477,2023-08-13,2023-08-15,
Heerenveen,,NED,1,1476.15686035,2023-08-13,2023-08-15,
Elfsborg,,SWE,1,1475.24645996,2023-08-14,2023-08-17,
Suedtirol,,ITA,2,1474.9654541,2023-06-11,2023-08-20,
Cartagena,,ESP,2,1473.83117676,2023-08-14,2023-08-18,
Brondby,,DEN,1,1473.31567383,2023-08-14,2023-08-15,
Haecken,,SWE,1,1472.51123047,2023-08-14,2023-08-17,
Boavista,,POR,1,1472.27954102,2023-08-11,2023-08-14,
Austria Wien,,AUT,1,1471.85253906,2023-08-14,2023-08-15,
Bordeaux,,FRA,2,1471.05505371,2023-08-10,2023-08-14,
Mirandes,,ESP,2,1469.09606934,2023-06-01,2023-08-14,
St Truiden,,BEL,1,1468.49731445,2023-08-14,2023-08-17,
Razgrad,,BUL,1,1467.64160156,2023-08-14,2023-08-17,
Steaua,,ROM,1,1463.26269531,2023-08-11,2023-08-16,
Leuven,,BEL,1,1461.72998047,2023-08-13,2023-08-17,
Rapid Wien,,AUT,1,1461.46569824,2023-08-14,2023-08-15,
Gijon,,ESP,2,1460.87255859,2023-08-12,2023-08-20,
Omonia,,CYP,0,1460.21069336,2023-08-11,2023-08-15,
Pisa,,ITA,2,1459.70300293,2023-06-11,2023-08-24,
Aarhus,,DEN,1,1459.34375,2023-08-14,2023-08-15,
Birmingham,,ENG,2,1458.73779297,2023-08-13,2023-08-19,
Viborg,,DEN,1,1457.45092773,2023-08-11,2023-08-14,
Burgos,,ESP,2,1456.8001709,2023-08-14,2023-08-19,
Zorya,,UKR,1,1455.39428711,2023-08-14,2023-08-17,
Luzern,,SUI,1,1455.32629395,2023-08-14,2023-08-15,
Troyes,,FRA,2,1454.37963867,2023-08-13,2023-08-15,
Kasimpasa,,TUR,1,1454.27001953,2023-08-13,2023-08-15,
Piast Gliwice,,POL,1,1453.09875488,2023-08-12,2023-08-15,
Como,,ITA,2,1452.83935547,2023-06-11,2023-08-20,
Cardiff,,ENG,2,1451.69946289,2023-08-13,2023-08-19,
Standard,,BEL,1,1451.19299316,2023-08-14,2023-08-17,
Viking,,NOR,1,1450.72998047,2023-08-14,2023-08-15,
Chaves,,POR,1,1448.96398926,2023-08-14,2023-08-15,
Pogon,,POL,1,1448.77600098,2023-08-14,2023-08-15,
APOEL,,CYP,0,1448.13220215,2023-08-11,2023-08-15,
Ipswich,,ENG,2,1448.03222656,2023-08-13,2023-08-19,
Malmoe,,SWE,1,1446.74035645,2023-08-11,2023-08-14,
Sverdlovsk,,RUS,1,1444.9519043,2023-08-12,2023-08-19,
Westerlo,,BEL,1,1444.79418945,2023-08-14,2023-08-17,
Rotherham,,ENG,2,1444.16772461,2023-08-13,2023-08-19,
Basel,,SUI,1,1443.24816895,2023-08-14,2023-08-15,
Rio Ave,,POR,1,1442.24157715,2023-08-14,2023-08-15,
Caen,,FRA,2,1441.67956543,2023-08-13,2023-08-15,
CFR Cluj,,ROM,1,1441.33972168,2023-08-11,2023-08-16,
Villarreal B,,ESP,2,1441.3380127,2023-08-13,2023-08-21,
Plymouth,,ENG,2,1440.66552734,2023-08-13,2023-08-19,
Palermo,,ITA,2,1440.55847168,2023-06-11,2023-08-18,
Kryliya Sovetov,,RUS,1,1440.51391602,2023-08-13,2023-08-18,
Ascoli,,ITA,2,1439.15270996,2023-06-11,2023-08-19,
Sivasspor,,TUR,1,1438.1237793,2023-08-14,2023-08-15,
Partizan,,SRB,1,1437.58447266,2023-08-14,2023-08-15,
Saint-Etienne,,FRA,2,1437.03686523,2023-08-13,2023-08-15,
Craiova,,ROM,1,1436.66137695,2023-08-13,2023-08-16,
Nijmegen,,NED,1,1433.55871582,2023-08-14,2023-08-15,
Hannover,,GER,2,1432.98937988,2023-08-07,2023-08-19,
Djurgarden,,SWE,1,1432.63220215,2023-08-14,2023-08-17,
Casa Pia,,POR,1,1432.57495117,2023-08-13,2023-08-15,
Antalyaspor,,TUR,1,1432.41577148,2023-08-12,2023-08-15,
Aris Limassol,,CYP,0,1431.82971191,2023-08-11,2023-08-15,
Osijek,,CRO,1,1431.39941406,2023-08-14,2023-08-15,
Rostock,,GER,2,1431.37573242,2023-08-06,2023-08-19,
Cittadella,,ITA,2,1430.64367676,2023-06-11,2023-08-20,
Sochi,,RUS,1,1430.16674805,2023-08-14,2023-08-19,
Slovacko,,CZE,1,1429.45495605,2023-08-14,2023-08-15,
Rijeka,,CRO,1,1429.32873535,2023-08-11,2023-08-15,
Ferrol,,ESP,2,1428.93139648,2023-08-13,2023-08-20,
Vizela,,POR,1,1428.26953125,2023-08-13,2023-08-15,
Bastia,,FRA,2,1427.25402832,2023-08-13,2023-08-15,
Go Ahead Eagles,,NED,1,1427.21630859,2023-08-14,2023-08-15,
Magdeburg,,GER,2,1427.14123535,2023-08-07,2023-08-20,
Eldense,,ESP,2,1427.0625,2023-08-14,2023-08-21,
Tromso,,NOR,1,1427.0213623,2023-08-11,2023-08-15,
Alanyaspor,,TUR,1,1425.53369141,2023-08-11,2023-08-14,
Ajaccio,,FRA,2,1425.38635254,2023-08-13,2023-08-15,
Wolfsberg,,AUT,1,1424.32080078,2023-08-13,2023-08-15,
Mechelen,,BEL,1,1424.26538086,2023-08-13,2023-08-17,
Guingamp,,FRA,2,1422.91052246,2023-08-13,2023-08-15,
Odense,,DEN,1,1422.61474609,2023-08-12,2023-08-15,
Rosenborg,,NOR,1,1422.55322266,2023-08-11,2023-08-15,
Waalwijk,,NED,1,1422.33276367,2023-08-13,2023-08-15,
Kayseri,,TUR,1,1422.23156738,2023-08-13,2023-08-15,
QPR,,ENG,2,1421.32653809,2023-08-13,2023-08-19,
Amorebieta,,ESP,2,1418.69677734,2023-08-12,2023-08-20,
Nuernberg,,GER,2,1418.32800293,2023-08-07,2023-08-20,
Sigma Olomouc,,CZE,1,1415.74047852,2023-08-14,2023-08-15,
Alcorcon,,ESP,2,1415.23950195,2023-07-01,2023-08-14,
Sittard,,NED,1,1414.63330078,2023-08-14,2023-08-15,
Dnipro,,UKR,1,1414.45092773,2023-08-14,2023-08-17,
Modena,,ITA,2,1413.01525879,2023-06-11,2023-08-24,
Sheffield Weds,,ENG,2,1412.11218262,2023-08-13,2023-08-19,
Orenburg,,RUS,1,1411.97302246,2023-08-13,2023-08-20,
Aris,,GRE,1,1410.96289062,2023-08-11,2023-08-15,
Angers,,FRA,2,1410.77624512,2023-08-13,2023-08-15,
Viitorul,,ROM,1,1409.31994629,2023-08-11,2023-08-16,
Silkeborg,,DEN,1,1408.96484375,2023-08-14,2023-08-15,
Brescia,,ITA,2,1406.61450195,2023-06-11,2023-08-24,
Heracles,,NED,1,1406.03137207,2023-08-13,2023-08-15,
Hammarby,,SWE,1,1405.69787598,2023-08-14,2023-08-17,
Paris FC,,FRA,2,1404.89624023,2023-08-13,2023-08-15,
FK Astana,,KAZ,0,1404.71081543,2023-08-11,2023-08-17,
Moreirense,,POR,1,1403.51257324,2023-08-11,2023-08-14,
Klagenfurt,,AUT,1,1403.16040039,2023-08-13,2023-08-15,
Zwolle,,NED,1,1402.20739746,2023-08-13,2023-08-15,
Almere,,NED,1,1401.53955078,2023-08-14,2023-08-15,
Lautern,,GER,2,1400.81054688,2023-08-06,2023-08-18,
Estoril,,POR,1,1399.44482422,2023-08-14,2023-08-15,
Istanbulspor,,TUR,1,1399.33837891,2023-08-13,2023-08-15,
Grasshoppers,,SUI,1,1398.09558105,2023-08-13,2023-08-15,
Cracovia,,POL,1,1397.64648438,2023-08-12,2023-08-15,
Estrela Amadora,,POR,1,1396.68884277,2023-08-14,2023-08-15,
Randers,,DEN,1,1393.05200195,2023-08-14,2023-08-15,
Ferencvaros,,HUN,1,1391.02807617,2023-08-14,2023-08-17,
Slovan Bratislava,,SLK,0,1389.33740234,2023-08-11,2023-08-15,
Cosenza,,ITA,2,1389.27770996,2023-06-11,2023-08-19,
Ternana,,ITA,2,1388.98876953,2023-06-11,2023-08-19,
Ankaraguecue,,TUR,1,1387.9987793,2023-08-13,2023-08-15,
Lillestrom,,NOR,1,1387.9206543,2023-08-14,2023-08-15,
CSKA Sofia,,BUL,1,1387.63256836,2023-08-14,2023-08-17,
Farense,,POR,1,1387.28771973,2023-08-13,2023-08-15,
Volendam,,NED,1,1386.68640137,2023-08-12,2023-08-15,
Excelsior,,NED,1,1385.11779785,2023-08-14,2023-08-15,
Portimonense,,POR,1,1382.89685059,2023-08-13,2023-08-15,
Grenoble,,FRA,2,1382.63671875,2023-08-13,2023-08-15,
Sepsi,,ROM,1,1382.04431152,2023-08-11,2023-08-16,
Rodez,,FRA,2,1380.82751465,2023-08-13,2023-08-15,
Warta,,POL,1,1378.59179688,2023-08-11,2023-08-14,
Gornik,,POL,1,1377.36181641,2023-08-13,2023-08-15,
Netanya,,ISR,1,1375.98876953,2023-08-11,2023-08-15,
Wehen,,GER,2,1373.8067627,2023-08-05,2023-08-18,
Lustenau,,AUT,1,1373.59033203,2023-08-13,2023-08-15,
Nizhny Novgorod,,RUS,1,1373.26391602,2023-08-05,2023-08-14,
Odd Grenland,,NOR,1,1370.29528809,2023-08-11,2023-08-15,
Braunschweig,,GER,2,1369.03295898,2023-08-07,2023-08-20,
Reggiana,,ITA,2,1368.80407715,2023-07-01,2023-08-20,
Feralpisalo,,ITA,2,1368.80407715,2023-07-01,2023-08-24,
Lecco,,ITA,2,1368.80407715,2023-07-01,2023-08-24,
Catanzaro,,ITA,2,1368.80407715,2023-07-01,2023-08-19,
Radomiak,,POL,1,1368.2578125,2023-08-14,2023-08-15,
Lubin,,POL,1,1366.94946289,2023-08-12,2023-08-15,
Jagiellonia,,POL,1,1365.06286621,2023-08-11,2023-08-15,
Bohemians Praha,,CZE,1,1364.38720703,2023-08-14,2023-08-15,
Trnava,,SLK,0,1363.63012695,2023-08-11,2023-08-15,
Pau,,FRA,2,1363.61730957,2023-08-13,2023-08-15,
Zilina,,SLK,0,1363.25634766,2023-08-11,2023-08-15,
Molenbeek,,BEL,1,1361.64562988,2023-08-13,2023-08-17,
Hartberg,,AUT,1,1361.43469238,2023-08-14,2023-08-15,
Kortrijk,,BEL,1,1361.32568359,2023-08-12,2023-08-17,
Norrkoeping,,SWE,1,1358.49108887,2023-08-14,2023-08-17,
Osnabrueck,,GER,2,1358.43713379,2023-08-05,2023-08-20,
Cukaricki,,SRB,1,1358.13708496,2023-08-13,2023-08-15,
Maribor,,SVN,1,1357.15014648,2023-08-14,2023-08-15,
