team,rank,country,level,elo,from,to,league
Eibar,,ESP,2,1567.18664551,2024-06-13,2024-08-17,
Lok Moskva,,RUS,1,1567.16149902,2024-08-11,2024-08-18,
Leganes,,ESP,1,1566.73596191,2024-07-04,2024-08-17,ESP-La Liga
Oviedo,,ESP,2,1565.95593262,2024-06-24,2024-08-17,
Venezia,,ITA,1,1565.5637207,2024-07-04,2024-08-18,ITA-Serie A
CSKA Moskva,,RUS,1,1564.03588867,2024-08-11,2024-08-18,
Lorient,,FRA,2,1562.02539062,2024-08-14,2024-08-19,
Auxerre,,FRA,1,1561.90161133,2024-08-14,2024-08-18,FRA-Ligue 1
Almeria,,ESP,2,1559.73291016,2024-07-04,2024-08-18,
Genk,,BEL,1,1558.7364502,2024-08-14,2024-08-15,
Dynamo Kyiv,,UKR,1,1556.24316406,2024-08-14,2024-08-15,
Panathinaikos,,GRE,1,1555.9284668,2024-08-14,2024-08-15,
Molde,,NOR,1,1554.93774414,2024-08-14,2024-08-15,
Levante,,ESP,2,1553.99157715,2024-06-03,2024-08-18,
Cremonese,,ITA,2,1551.0949707,2024-06-03,2024-08-18,
Luton,,ENG,2,1549.63684082,2024-08-13,2024-08-17,
Karlsruhe,,GER,2,1548.77160645,2024-08-11,2024-08-22,
FC Krasnodar,,RUS,1,1548.00476074,2024-08-11,2024-08-18,
Dynamo Moskva,,RUS,1,1546.11401367,2024-08-11,2024-08-17,
Como,,ITA,1,1545.97338867,2024-07-04,2024-08-19,ITA-Serie A
Le Havre,,FRA,1,1545.3737793,2024-08-14,2024-08-16,FRA-Ligue 1
Nantes,,FRA,1,1544.77209473,2024-08-14,2024-08-18,FRA-Ligue 1
Clermont,,FRA,2,1541.95239258,2024-08-14,2024-08-16,
Granada,,ESP,2,1541.32678223,2024-07-04,2024-08-15,
Crvena Zvezda,,SRB,1,1540.45996094,2024-08-11,2024-08-15,
Metz,,FRA,2,1540.12084961,2024-08-14,2024-08-19,
Middlesbrough,,ENG,2,1540.07751465,2024-08-11,2024-08-17,
Young Boys,,SUI,1,1538.32067871,2024-08-11,2024-08-15,
Spartak Moskva,,RUS,1,1535.68127441,2024-08-12,2024-08-18,
Malmoe,,SWE,1,1535.28173828,2024-08-14,2024-08-15,
West Brom,,ENG,2,1534.35644531,2024-08-11,2024-08-17,
Cercle Brugge,,BEL,1,1531.4074707,2024-08-14,2024-08-15,
Salernitana,,ITA,2,1531.0111084,2024-07-04,2024-08-17,
Sheffield United,,ENG,2,1527.81347656,2024-08-10,2024-08-17,
Paderborn,,GER,2,1527.6036377,2024-08-12,2024-08-22,
Bueyueksehir,,TUR,1,1526.13183594,2024-08-14,2024-08-15,
Utrecht,,NED,1,1521.54309082,2024-08-14,2024-08-15,
Aarhus,,DEN,1,1517.76525879,2024-08-14,2024-08-15,
Santander,,ESP,2,1516.79187012,2024-06-03,2024-08-18,
Hertha,,GER,2,1516.52185059,2024-08-11,2024-08-22,
Trabzonspor,,TUR,1,1515.49072266,2024-08-14,2024-08-15,
Saint-Etienne,,FRA,1,1513.76904297,2024-08-14,2024-08-17,FRA-Ligue 1
Razgrad,,BUL,1,1510.35827637,2024-08-14,2024-08-15,
LASK,,AUT,1,1509.46020508,2024-08-14,2024-08-15,
Sampdoria,,ITA,2,1507.04284668,2024-05-30,2024-08-18,
Hannover,,GER,2,1506.52185059,2024-08-12,2024-08-22,
Gijon,,ESP,2,1504.77783203,2024-06-14,2024-08-18,
Rapid Wien,,AUT,1,1503.06848145,2024-08-14,2024-08-15,
Mechelen,,BEL,1,1501.80737305,2024-08-14,2024-08-15,
Famalicao,,POR,1,1501.32250977,2024-08-12,2024-08-15,
Huesca,,ESP,2,1500.49633789,2024-06-03,2024-08-18,
Elche,,ESP,2,1500.12634277,2024-06-03,2024-08-18,
Norwich,,ENG,2,1499.81286621,2024-08-11,2024-08-17,
Tenerife,,ESP,2,1499.10803223,2024-06-03,2024-08-19,
Elfsborg,,SWE,1,1498.40612793,2024-08-14,2024-08-15,
Schalke,,GER,2,1498.18591309,2024-08-11,2024-08-22,
Nijmegen,,NED,1,1496.76257324,2024-08-14,2024-08-15,
Arouca,,POR,1,1496.35778809,2024-08-13,2024-08-15,
Hull,,ENG,2,1494.96228027,2024-08-11,2024-08-17,
Lugano,,SUI,1,1494.47753906,2024-08-12,2024-08-15,
Ferencvaros,,HUN,1,1494.3861084,2024-08-14,2024-08-14,
Charleroi,,BEL,1,1492.5378418,2024-08-14,2024-08-15,
Sparta Rotterdam,,NED,1,1491.57995605,2024-08-14,2024-08-15,
Besiktas,,TUR,1,1491.22216797,2024-08-14,2024-08-15,
Brann,,NOR,1,1491.03649902,2024-08-14,2024-08-15,
Albacete,,ESP,2,1490.60827637,2024-06-03,2024-08-15,
Moreirense,,POR,1,1490.04211426,2024-08-12,2024-08-15,
Leuven,,BEL,1,1487.3359375,2024-08-14,2024-08-15,
Coventry,,ENG,2,1487.06811523,2024-08-11,2024-08-16,
Zuerich,,SUI,1,1484.81994629,2024-08-12,2024-08-15,
StGallen,,SUI,1,1484.3815918,2024-08-12,2024-08-15,
Burgos,,ESP,2,1483.99572754,2024-06-03,2024-08-18,
Zaragoza,,ESP,2,1483.93005371,2024-06-03,2024-08-16,
Servette,,SUI,1,1482.45898438,2024-08-12,2024-08-15,
Fuerth,,GER,2,1482.25720215,2024-08-10,2024-08-22,
Rostov,,RUS,1,1480.53552246,2024-08-10,2024-08-17,
Darmstadt,,GER,2,1480.21459961,2024-08-12,2024-08-22,
Legia,,POL,1,1480.19848633,2024-08-14,2024-08-15,
Angers,,FRA,1,1477.82299805,2024-08-14,2024-08-18,FRA-Ligue 1
Spezia,,ITA,2,1477.34448242,2024-05-30,2024-08-17,
Paris FC,,FRA,2,1477.31188965,2024-08-14,2024-08-17,
Watford,,ENG,2,1475.17456055,2024-08-11,2024-08-17,
Viking,,NOR,1,1474.27307129,2024-08-14,2024-08-15,
Cartagena,,ESP,2,1473.94946289,2024-06-03,2024-08-18,
Bristol City,,ENG,2,1473.3927002,2024-08-11,2024-08-17,
Swansea,,ENG,2,1472.06445312,2024-08-11,2024-08-17,
Catanzaro,,ITA,2,1470.7532959,2024-05-30,2024-08-18,
Palermo,,ITA,2,1470.13464355,2024-05-30,2024-08-16,
Stoke,,ENG,2,1468.69812012,2024-08-11,2024-08-17,
Westerlo,,BEL,1,1468.23706055,2024-08-14,2024-08-15,
Hajduk,,CRO,1,1464.33190918,2024-08-12,2024-08-15,
Mirandes,,ESP,2,1460.97253418,2024-06-03,2024-08-16,
Rio Ave,,POR,1,1460.96716309,2024-08-10,2024-08-15,
Rakow,,POL,1,1460.85070801,2024-08-14,2024-08-15,
Djurgarden,,SWE,1,1460.58569336,2024-08-14,2024-08-15,
Suedtirol,,ITA,2,1460.36193848,2024-05-30,2024-08-17,
Sheffield Weds,,ENG,2,1460.0435791,2024-08-12,2024-08-18,
Jagiellonia,,POL,1,1459.85656738,2024-08-14,2024-08-15,
Ferrol,,ESP,2,1457.390625,2024-06-03,2024-08-17,
Aris,,GRE,1,1457.12963867,2024-08-14,2024-08-15,
Blackburn,,ENG,2,1455.58520508,2024-08-10,2024-08-17,
Caen,,FRA,2,1455.09814453,2024-08-14,2024-08-17,
Silkeborg,,DEN,1,1454.78125,2024-08-14,2024-08-15,
Millwall,,ENG,2,1454.64318848,2024-08-11,2024-08-17,
Rijeka,,CRO,1,1454.29101562,2024-08-12,2024-08-15,
Basel,,SUI,1,1453.79260254,2024-08-12,2024-08-15,
Rodez,,FRA,2,1453.29699707,2024-08-14,2024-08-16,
Lech,,POL,1,1453.14831543,2024-08-14,2024-08-15,
Cosenza,,ITA,2,1452.22229004,2024-05-30,2024-08-18,
Randers,,DEN,1,1451.2454834,2024-08-14,2024-08-15,
Pogon,,POL,1,1451.2121582,2024-08-14,2024-08-15,
Pisa,,ITA,2,1450.78869629,2024-05-30,2024-08-17,
Brescia,,ITA,2,1450.17407227,2024-05-30,2024-08-16,
Standard,,BEL,1,1449.640625,2024-08-14,2024-08-15,
Beer-Sheva,,ISR,1,1449.62512207,2024-08-09,2024-08-15,
Alanyaspor,,TUR,1,1448.24841309,2024-08-14,2024-08-15,
Bari,,ITA,2,1448.11755371,2024-05-30,2024-08-17,
St Truiden,,BEL,1,1447.82653809,2024-08-14,2024-08-15,
Sunderland,,ENG,2,1447.18444824,2024-08-11,2024-08-18,
Hammarby,,SWE,1,1446.6673584,2024-08-14,2024-08-15,
Banik Ostrava,,CZE,1,1446.30566406,2024-08-14,2024-08-15,
Sivasspor,,TUR,1,1444.13928223,2024-08-14,2024-08-15,
Austria Wien,,AUT,1,1442.56103516,2024-08-14,2024-08-15,
Lautern,,GER,2,1442.14025879,2024-08-10,2024-08-22,
Go Ahead Eagles,,NED,1,1439.03820801,2024-08-14,2024-08-15,
QPR,,ENG,2,1438.29052734,2024-08-11,2024-08-17,
Steaua,,ROM,1,1438.09863281,2024-08-14,2024-08-14,
Gil Vicente,,POR,1,1437.9440918,2024-08-11,2024-08-15,
Konyaspor,,TUR,1,1437.17382812,2024-08-14,2024-08-15,
Eldense,,ESP,2,1437.06396484,2024-06-03,2024-08-19,
CFR Cluj,,ROM,1,1434.97924805,2024-08-14,2024-08-14,
Modena,,ITA,2,1434.65075684,2024-05-30,2024-08-17,
Preston,,ENG,2,1433.69177246,2024-08-10,2024-08-17,
Magdeburg,,GER,2,1429.9465332,2024-08-12,2024-08-22,
Orenburg,,RUS,1,1427.51049805,2024-08-11,2024-08-17,
Terek Grozny,,RUS,1,1426.83728027,2024-08-12,2024-08-19,
Craiova,,ROM,1,1426.33312988,2024-08-14,2024-08-14,
Guingamp,,FRA,2,1426.23168945,2024-08-14,2024-08-16,
Kasimpasa,,TUR,1,1425.22583008,2024-08-14,2024-08-15,
Bastia,,FRA,2,1424.23547363,2024-08-14,2024-08-19,
Slovan Bratislava,,SLK,0,1423.99804688,2024-08-14,2024-08-15,
Cesena,,ITA,2,1423.72851562,2024-07-03,2024-08-18,
Mantova,,ITA,2,1423.72851562,2024-07-03,2024-08-18,
Carrarese,,ITA,2,1423.72851562,2024-07-03,2024-08-18,
Juve Stabia,,ITA,2,1423.72851562,2024-07-03,2024-08-17,
Casa Pia,,POR,1,1423.31555176,2024-08-11,2024-08-15,
Piast Gliwice,,POL,1,1422.20617676,2024-08-14,2024-08-15,
Cittadella,,ITA,2,1420.96765137,2024-05-30,2024-08-17,
Rubin Kazan,,RUS,1,1420.45068359,2024-08-10,2024-08-19,
Slask,,POL,1,1420.29882812,2024-08-14,2024-08-15,
Amiens,,FRA,2,1419.9822998,2024-08-14,2024-08-16,
Viborg,,DEN,1,1419.89233398,2024-08-14,2024-08-15,
Haecken,,SWE,1,1419.8873291,2024-08-14,2024-08-15,
Cordoba,,ESP,2,1419.67626953,2024-07-03,2024-08-16,
Castellon,,ESP,2,1419.67626953,2024-07-03,2024-08-17,
Depor,,ESP,2,1419.67626953,2024-07-03,2024-08-17,
Malaga,,ESP,2,1419.67626953,2024-07-03,2024-08-17,
Slovacko,,CZE,1,1419.4954834,2024-08-14,2024-08-15,
Tromso,,NOR,1,1418.8605957,2024-08-14,2024-08-15,
Hradec Kralove,,CZE,1,1418.12329102,2024-08-14,2024-08-15,
Nuernberg,,GER,2,1417.79101562,2024-08-11,2024-08-22,
Reggiana,,ITA,2,1416.83911133,2024-05-30,2024-08-18,
Mlada Boleslav,,CZE,1,1416.53308105,2024-08-14,2024-08-15,
Troyes,,FRA,2,1416.30603027,2024-08-14,2024-08-16,
Adana Demirspor,,TUR,1,1414.20153809,2024-08-14,2024-08-15,
Boavista,,POR,1,1412.28295898,2024-08-11,2024-08-15,
Omonia,,CYP,0,1411.84606934,2024-08-14,2024-08-14,
Gornik,,POL,1,1411.07580566,2024-08-14,2024-08-15,
Heerenveen,,NED,1,1410.72961426,2024-08-14,2024-08-15,
Larnaca,,CYP,0,1410.27661133,2024-08-14,2024-08-14,
Kryliya Sovetov,,RUS,1,1410.16027832,2024-08-12,2024-08-17,
Farense,,POR,1,1408.01208496,2024-08-12,2024-08-15,
Wolfsberg,,AUT,1,1407.73986816,2024-08-14,2024-08-15,
Hearts,,SCO,1,1407.19152832,2024-08-14,2024-08-15,
Levski,,BUL,1,1406.95654297,2024-08-14,2024-08-15,
Annecy,,FRA,2,1406.45922852,2024-08-14,2024-08-16,
Sittard,,NED,1,1405.91345215,2024-08-14,2024-08-15,
Pau,,FRA,2,1403.94250488,2024-08-14,2024-08-16,
Elversberg,,GER,2,1402.62475586,2024-08-11,2024-08-22,
Luzern,,SUI,1,1401.89025879,2024-08-12,2024-08-15,
Antalyaspor,,TUR,1,1400.68786621,2024-08-14,2024-08-15,
Hartberg,,AUT,1,1400.19628906,2024-08-14,2024-08-15,
Puskas Akademia,,HUN,1,1399.61816406,2024-08-14,2024-08-14,
Plymouth,,ENG,2,1399.24157715,2024-08-12,2024-08-17,
Santa Clara,,POR,1,1398.97912598,2024-08-12,2024-08-15,
Oxford,,ENG,2,1397.30004883,2024-08-11,2024-08-16,
Estrela Amadora,,POR,1,1397.28710938,2024-08-12,2024-08-15,
Osijek,,CRO,1,1395.22851562,2024-08-12,2024-08-15,
APOEL,,CYP,0,1395.02539062,2024-08-14,2024-08-14,
Trnava,,SLK,0,1394.82397461,2024-08-14,2024-08-15,
Regensburg,,GER,2,1394.50805664,2024-08-10,2024-08-22,
Paphos,,CYP,0,1393.56005859,2024-08-14,2024-08-14,
Cardiff,,ENG,2,1392.95947266,2024-08-11,2024-08-17,
Sheriff Tiraspol,,MOL,0,1392.81274414,2024-08-14,2024-08-15,
Rosenborg,,NOR,1,1392.39318848,2024-08-14,2024-08-15,
Jablonec,,CZE,1,1390.4498291,2024-08-14,2024-08-15,
Portsmouth,,ENG,2,1389.81054688,2024-08-11,2024-08-17,
Muenster,,GER,2,1388.92529297,2024-08-12,2024-08-22,
Sigma Olomouc,,CZE,1,1387.53527832,2024-08-14,2024-08-15,
Zwolle,,NED,1,1386.84558105,2024-08-14,2024-08-15,
Estoril,,POR,1,1386.83117676,2024-08-12,2024-08-15,
Slovan Liberec,,CZE,1,1385.87988281,2024-08-14,2024-08-15,
Maribor,,SVN,1,1385.60583496,2024-08-12,2024-08-15,
Grenoble,,FRA,2,1385.1027832,2024-08-14,2024-08-16,
Klagenfurt,,AUT,1,1384.62475586,2024-08-14,2024-08-15,
Nacional,,POR,1,1383.28710938,2024-08-11,2024-08-15,
Ajaccio,,FRA,2,1382.39672852,2024-08-14,2024-08-16,
Waalwijk,,NED,1,1382.28295898,2024-08-14,2024-08-15,
Zira,,AZE,0,1382.00695801,2024-08-14,2024-08-15,
Braunschweig,,GER,2,1381.94812012,2024-08-12,2024-08-22,
IK Sirius,,SWE,1,1381.3293457,2024-08-14,2024-08-15,
Laval,,FRA,2,1380.63623047,2024-08-14,2024-08-16,
Cracovia,,POL,1,1380.28747559,2024-08-14,2024-08-15,
AVS Futebol,,POR,1,1380.2532959,2024-08-11,2024-08-15,
Dender,,BEL,1,1379.20349121,2024-08-14,2024-08-15,
Gaziantep FK,,TUR,1,1378.72521973,2024-08-14,2024-08-15,
Lillestrom,,NOR,1,1378.67346191,2024-08-14,2024-08-15,
Ulm,,GER,2,1378.58911133,2024-08-10,2024-08-22,
Vejle,,DEN,1,1378.12438965,2024-08-14,2024-08-15,
Ruzomberok,,SLK,0,1377.94689941,2024-08-14,2024-08-15,
Sarpsborg,,NOR,1,1377.77111816,2024-08-14,2024-08-15,
Lyngby,,DEN,1,1377.45239258,2024-08-14,2024-08-15,
Hapoel Haifa,,ISR,1,1377.39770508,2024-08-09,2024-08-15,
Derby,,ENG,2,1375.94970703,2024-08-10,2024-08-17,
Sabah,,AZE,0,1375.51257324,2024-08-14,2024-08-15,
Aalborg,,DEN,1,1373.80932617,2024-08-14,2024-08-15,
Kayseri,,TUR,1,1371.11071777,2024-08-14,2024-08-15,
Mjaellby,,SWE,1,1370.80981445,2024-08-14,2024-08-15,
Fredrikstad,,NOR,1,1370.1517334,2024-08-14,2024-08-14,
Fakel Voronezh,,RUS,1,1370.07299805,2024-08-12,2024-08-18,
Cherno More,,BUL,1,1369.70581055,2024-08-14,2024-08-15,
Almere,,NED,1,1369.02697754,2024-08-14,2024-08-15,
Lubin,,POL,1,1368.8145752,2024-08-14,2024-08-15,
Zorya,,UKR,1,1368.07958984,2024-08-14,2024-08-15,
