team,rank,country,level,elo,from,to,league
Cercle Brugge,,BEL,1,1527.42810059,2024-12-28,2024-12-31,
Huesca,,ESP,2,1524.89819336,2024-12-23,2024-12-31,
Karabakh Agdam,,AZE,0,1524.88903809,2024-12-13,2024-12-31,
Malmoe,,SWE,1,1524.77526855,2024-12-20,2024-12-31,
Duesseldorf,,GER,2,1523.68701172,2024-12-21,2024-12-31,
Santander,,ESP,2,1521.99621582,2024-12-23,2024-12-31,
Mirandes,,ESP,2,1521.33325195,2024-12-23,2024-12-31,
Holstein,,GER,1,1517.85742188,2024-12-22,2024-12-31,GER-Bundesliga
Paris FC,,FRA,2,1517.69750977,2024-12-15,2024-12-31,
Frosinone,,ITA,2,1516.65100098,2024-12-30,2024-12-31,
Legia,,POL,1,1515.83227539,2024-12-20,2024-12-31,
Le Havre,,FRA,1,1515.55493164,2024-12-16,2024-12-31,FRA-Ligue 1
Cadiz,,ESP,2,1512.34313965,2024-12-23,2024-12-31,
Karlsruhe,,GER,2,1509.25402832,2024-12-22,2024-12-31,
Eibar,,ESP,2,1506.42883301,2024-12-22,2024-12-31,
Norwich,,ENG,2,1506.07165527,2024-12-30,2024-12-31,
Lech,,POL,1,1505.84863281,2024-12-20,2024-12-31,
Aarhus,,DEN,1,1505.80749512,2024-12-20,2024-12-31,
Rakow,,POL,1,1505.26831055,2024-12-20,2024-12-31,
Saint-Etienne,,FRA,1,1505.02392578,2024-12-14,2024-12-31,FRA-Ligue 1
Blackburn,,ENG,2,1504.4642334,2024-12-30,2024-12-31,
Watford,,ENG,2,1502.60327148,2024-12-30,2024-12-31,
Swansea,,ENG,2,1502.24475098,2024-12-30,2024-12-31,
Angers,,FRA,1,1501.55371094,2024-12-16,2024-12-31,FRA-Ligue 1
Young Boys,,SUI,1,1500.29248047,2024-12-20,2024-12-31,
Leuven,,BEL,1,1500.26037598,2024-12-28,2024-12-31,
Bristol City,,ENG,2,1500.22387695,2024-12-30,2024-12-31,
Ferencvaros,,HUN,1,1498.55419922,2024-12-16,2024-12-31,
Molde,,NOR,1,1497.55419922,2024-12-20,2024-12-31,
Brann,,NOR,1,1496.36022949,2024-12-20,2024-12-31,
Moreirense,,POR,1,1495.40942383,2024-12-29,2024-12-31,
Charleroi,,BEL,1,1494.21936035,2024-12-27,2024-12-31,
Gijon,,ESP,2,1494.16296387,2024-12-22,2024-12-31,
Elfsborg,,SWE,1,1494.00219727,2024-12-20,2024-12-31,
Rapid Wien,,AUT,1,1493.77502441,2024-12-20,2024-12-31,
Catanzaro,,ITA,2,1493.35144043,2024-12-30,2024-12-31,
Dynamo Kyiv,,UKR,1,1492.94396973,2024-12-17,2024-12-31,
Famalicao,,POR,1,1492.65332031,2024-12-31,2024-12-31,
Paderborn,,GER,2,1492.4296875,2024-12-22,2024-12-31,
Steaua,,ROM,1,1491.6192627,2024-12-24,2024-12-31,
Darmstadt,,GER,2,1491.55200195,2024-12-23,2024-12-31,
Coventry,,ENG,2,1491.50488281,2024-12-30,2024-12-31,
Millwall,,ENG,2,1490.56274414,2024-12-30,2024-12-31,
Luton,,ENG,2,1489.52722168,2024-12-30,2024-12-31,
Go Ahead Eagles,,NED,1,1487.67871094,2024-12-22,2024-12-31,
Banik Ostrava,,CZE,1,1485.51330566,2024-12-20,2024-12-31,
Zaragoza,,ESP,2,1484.91040039,2024-12-22,2024-12-31,
Jagiellonia,,POL,1,1483.84094238,2024-12-20,2024-12-31,
Beer-Sheva,,ISR,1,1480.49035645,2024-12-15,2024-12-31,
Hannover,,GER,2,1479.97412109,2024-12-23,2024-12-31,
Bari,,ITA,2,1479.4979248,2024-12-30,2024-12-31,
Casa Pia,,POR,1,1478.98327637,2024-12-30,2024-12-31,
Hammarby,,SWE,1,1478.61486816,2024-12-20,2024-12-31,
Sheffield Weds,,ENG,2,1477.70825195,2024-12-30,2024-12-31,
Clermont,,FRA,2,1476.5838623,2024-12-14,2024-12-31,
Viking,,NOR,1,1475.91125488,2024-12-20,2024-12-31,
Rostov,,RUS,1,1474.72924805,2024-12-08,2024-12-31,
Randers,,DEN,1,1473.6607666,2024-12-20,2024-12-31,
Preston,,ENG,2,1473.30554199,2024-12-30,2024-12-31,
Hertha,,GER,2,1472.30749512,2024-12-23,2024-12-31,
Sampdoria,,ITA,2,1471.93908691,2024-12-30,2024-12-31,
Albacete,,ESP,2,1471.27685547,2024-12-21,2024-12-31,
Bueyueksehir,,TUR,1,1470.81201172,2024-12-24,2024-12-31,
Austria Wien,,AUT,1,1470.30871582,2024-12-20,2024-12-31,
Palermo,,ITA,2,1469.57470703,2024-12-30,2024-12-31,
Rio Ave,,POR,1,1469.4543457,2024-12-30,2024-12-31,
Besiktas,,TUR,1,1469.28015137,2024-12-22,2024-12-31,
St Truiden,,BEL,1,1468.32519531,2024-12-28,2024-12-31,
Lugano,,SUI,1,1468.12255859,2024-12-20,2024-12-31,
Malaga,,ESP,2,1467.30895996,2024-12-22,2024-12-31,
Paphos,,CYP,0,1466.84765625,2024-12-20,2024-12-31,
Hajduk,,CRO,1,1465.68579102,2024-12-23,2024-12-31,
Djurgarden,,SWE,1,1464.28564453,2024-12-20,2024-12-31,
Nijmegen,,NED,1,1463.83679199,2024-12-23,2024-12-31,
QPR,,ENG,2,1462.15270996,2024-12-30,2024-12-31,
Servette,,SUI,1,1461.8326416,2024-12-20,2024-12-31,
Rodez,,FRA,2,1461.76379395,2024-12-14,2024-12-31,
Modena,,ITA,2,1461.14428711,2024-12-30,2024-12-31,
Schalke,,GER,2,1460.61328125,2024-12-21,2024-12-31,
Salernitana,,ITA,2,1460.50805664,2024-12-30,2024-12-31,
Santa Clara,,POR,1,1460.26635742,2024-12-31,2024-12-31,
Standard,,BEL,1,1459.71374512,2024-12-27,2024-12-31,
Westerlo,,BEL,1,1459.63049316,2024-12-27,2024-12-31,
Gil Vicente,,POR,1,1459.16821289,2024-12-28,2024-12-31,
Basel,,SUI,1,1457.28552246,2024-12-20,2024-12-31,
Silkeborg,,DEN,1,1455.90905762,2024-12-20,2024-12-31,
Trabzonspor,,TUR,1,1455.86035156,2024-12-23,2024-12-31,
Hull,,ENG,2,1455.23449707,2024-12-30,2024-12-31,
Juve Stabia,,ITA,2,1455.12670898,2024-12-30,2024-12-31,
Arouca,,POR,1,1455.07373047,2024-12-28,2024-12-31,
Rijeka,,CRO,1,1453.1105957,2024-12-23,2024-12-31,
Brescia,,ITA,2,1452.67663574,2024-12-30,2024-12-31,
Burgos,,ESP,2,1452.63916016,2024-12-23,2024-12-31,
Annecy,,FRA,2,1452.36975098,2024-12-15,2024-12-31,
Carrarese,,ITA,2,1452.06311035,2024-12-30,2024-12-31,
Rosenborg,,NOR,1,1451.50866699,2024-12-20,2024-12-31,
Sittard,,NED,1,1451.07287598,2024-12-23,2024-12-31,
Magdeburg,,GER,2,1450.05883789,2024-12-21,2024-12-31,
Lautern,,GER,2,1448.24267578,2024-12-23,2024-12-31,
Stoke,,ENG,2,1448.03515625,2024-12-30,2024-12-31,
Omonia,,CYP,0,1446.68115234,2024-12-20,2024-12-31,
Castellon,,ESP,2,1444.50549316,2024-12-23,2024-12-31,
Guingamp,,FRA,2,1444.25732422,2024-12-14,2024-12-31,
Bastia,,FRA,2,1444.18139648,2024-12-14,2024-12-31,
Depor,,ESP,2,1443.56762695,2024-12-23,2024-12-31,
Gornik,,POL,1,1443.27001953,2024-12-20,2024-12-31,
Cordoba,,ESP,2,1443.26306152,2024-12-22,2024-12-31,
Cosenza,,ITA,2,1441.53198242,2024-12-30,2024-12-31,
Rubin Kazan,,RUS,1,1441.09082031,2024-12-08,2024-12-31,
Pogon,,POL,1,1440.96557617,2024-12-20,2024-12-31,
StGallen,,SUI,1,1439.58618164,2024-12-20,2024-12-31,
Aris,,GRE,1,1439.53027344,2024-12-24,2024-12-31,
Mlada Boleslav,,CZE,1,1438.87548828,2024-12-20,2024-12-31,
Larnaca,,CYP,0,1438.69396973,2024-12-20,2024-12-31,
Reggiana,,ITA,2,1437.21435547,2024-12-30,2024-12-31,
Elversberg,,GER,2,1436.43103027,2024-12-21,2024-12-31,
Laval,,FRA,2,1436.12158203,2024-12-14,2024-12-31,
Olimpija Ljubljana,,SVN,1,1435.54675293,2024-12-20,2024-12-31,
CFR Cluj,,ROM,1,1432.78979492,2024-12-23,2024-12-31,
APOEL,,CYP,0,1432.52429199,2024-12-20,2024-12-31,
Derby,,ENG,2,1432.37536621,2024-12-30,2024-12-31,
Cesena,,ITA,2,1431.23022461,2024-12-30,2024-12-31,
Mantova,,ITA,2,1430.47155762,2024-12-30,2024-12-31,
Sparta Rotterdam,,NED,1,1430.42456055,2024-12-23,2024-12-31,
AIK,,SWE,1,1429.11694336,2024-12-20,2024-12-31,
Jablonec,,CZE,1,1426.62084961,2024-12-20,2024-12-31,
Viborg,,DEN,1,1426.29760742,2024-12-20,2024-12-31,
Dender,,BEL,1,1425.84350586,2024-12-28,2024-12-31,
Kasimpasa,,TUR,1,1425.7298584,2024-12-24,2024-12-31,
Cittadella,,ITA,2,1425.65515137,2024-12-30,2024-12-31,
Dunkerque,,FRA,2,1424.1385498,2024-12-17,2024-12-31,
Amiens,,FRA,2,1422.33105469,2024-12-14,2024-12-31,
Zuerich,,SUI,1,1420.42419434,2024-12-20,2024-12-31,
Cracovia,,POL,1,1420.09838867,2024-12-20,2024-12-31,
Tenerife,,ESP,2,1418.71081543,2024-12-23,2024-12-31,
Heerenveen,,NED,1,1418.42199707,2024-12-22,2024-12-31,
Lausanne,,SUI,1,1418.40368652,2024-12-20,2024-12-31,
Samsunspor,,TUR,1,1417.92211914,2024-12-22,2024-12-31,
Fuerth,,GER,2,1417.83166504,2024-12-22,2024-12-31,
Alanyaspor,,TUR,1,1417.34289551,2024-12-22,2024-12-31,
Piast Gliwice,,POL,1,1416.47729492,2024-12-20,2024-12-31,
Eldense,,ESP,2,1415.80310059,2024-12-23,2024-12-31,
Hradec Kralove,,CZE,1,1415.11535645,2024-12-20,2024-12-31,
Farense,,POR,1,1414.30285645,2024-12-30,2024-12-31,
Slovan Bratislava,,SLK,0,1414.15673828,2024-12-12,2024-12-31,
Caen,,FRA,2,1413.67089844,2024-12-17,2024-12-31,
Ferrol,,ESP,2,1413.23803711,2024-12-22,2024-12-31,
Estoril,,POR,1,1412.15441895,2024-12-29,2024-12-31,
Mjaellby,,SWE,1,1411.22644043,2024-12-20,2024-12-31,
Troyes,,FRA,2,1411.12976074,2024-12-14,2024-12-31,
Suedtirol,,ITA,2,1411.12487793,2024-12-30,2024-12-31,
Wolfsberg,,AUT,1,1410.50830078,2024-12-20,2024-12-31,
Haecken,,SWE,1,1409.7755127,2024-12-20,2024-12-31,
Craiova,,ROM,1,1409.53466797,2024-12-22,2024-12-31,
Pau,,FRA,2,1408.60656738,2024-12-14,2024-12-31,
Osijek,,CRO,1,1408.36523438,2024-12-21,2024-12-31,
Nuernberg,,GER,2,1407.63317871,2024-12-22,2024-12-31,
Puskas Akademia,,HUN,1,1407.57226562,2024-12-15,2024-12-31,
LASK,,AUT,1,1406.88574219,2024-12-20,2024-12-31,
Estrela Amadora,,POR,1,1405.01611328,2024-12-29,2024-12-31,
Portsmouth,,ENG,2,1404.90258789,2024-12-30,2024-12-31,
Zwolle,,NED,1,1404.4543457,2024-12-21,2024-12-31,
Cardiff,,ENG,2,1403.74267578,2024-12-30,2024-12-31,
Slovan Liberec,,CZE,1,1403.51611328,2024-12-20,2024-12-31,
Kryliya Sovetov,,RUS,1,1402.77941895,2024-12-08,2024-12-31,
AVS Futebol,,POR,1,1399.63745117,2024-12-29,2024-12-31,
Oxford,,ENG,2,1397.54638672,2024-12-30,2024-12-31,
Luzern,,SUI,1,1397.10827637,2024-12-20,2024-12-31,
Sivasspor,,TUR,1,1395.90393066,2024-12-22,2024-12-31,
Boavista,,POR,1,1394.52685547,2024-12-29,2024-12-31,
Slovacko,,CZE,1,1394.25817871,2024-12-20,2024-12-31,
Hartberg,,AUT,1,1393.45861816,2024-12-20,2024-12-31,
Konyaspor,,TUR,1,1391.54577637,2024-12-20,2024-12-31,
Goeztepe,,TUR,1,1390.86035156,2024-12-23,2024-12-31,
Nacional,,POR,1,1388.49401855,2024-12-30,2024-12-31,
Cartagena,,ESP,2,1387.39477539,2024-12-21,2024-12-31,
Eyupspor,,TUR,1,1385.7989502,2024-12-21,2024-12-31,
Cherno More,,BUL,1,1385.69384766,2024-12-13,2024-12-31,
Antalyaspor,,TUR,1,1384.80822754,2024-12-23,2024-12-31,
Willem II,,NED,1,1384.33862305,2024-12-23,2024-12-31,
Sigma Olomouc,,CZE,1,1383.27099609,2024-12-20,2024-12-31,
Grenoble,,FRA,2,1382.06530762,2024-12-15,2024-12-31,
Plymouth,,ENG,2,1378.29077148,2024-12-30,2024-12-31,
Trnava,,SLK,0,1377.41955566,2024-12-12,2024-12-31,
Muenster,,GER,2,1377.03710938,2024-12-22,2024-12-31,
Maribor,,SVN,1,1376.85705566,2024-12-20,2024-12-31,
Sheriff Tiraspol,,MOL,0,1376.75268555,2024-12-20,2024-12-31,
Aberdeen,,SCO,1,1375.62683105,2024-12-30,2024-12-31,
Ulm,,GER,2,1374.2220459,2024-12-22,2024-12-31,
Terek Grozny,,RUS,1,1373.49609375,2024-12-09,2024-12-31,
IK Sirius,,SWE,1,1373.47631836,2024-12-20,2024-12-31,
Tromso,,NOR,1,1372.58337402,2024-12-20,2024-12-31,
Gaziantep FK,,TUR,1,1372.25415039,2024-12-23,2024-12-31,
Ruzomberok,,SLK,0,1371.51733398,2024-12-12,2024-12-31,
Hapoel Haifa,,ISR,1,1371.48376465,2024-12-15,2024-12-31,
Universitatea Cluj,,ROM,1,1370.13391113,2024-12-21,2024-12-31,
Levski,,BUL,1,1369.79492188,2024-12-13,2024-12-31,
Breda,,NED,1,1368.90209961,2024-12-22,2024-12-31,
Sepsi,,ROM,1,1368.02514648,2024-12-21,2024-12-31,
Fakel Voronezh,,RUS,1,1367.53063965,2024-12-09,2024-12-31,
Fredrikstad,,NOR,1,1367.21252441,2024-12-20,2024-12-31,
Ajaccio,,FRA,2,1365.40783691,2024-12-14,2024-12-31,
Rapid Bucuresti,,ROM,1,1365.07568359,2024-12-23,2024-12-31,
Sion,,SUI,1,1363.50854492,2024-12-20,2024-12-31,
Hearts,,SCO,1,1362.01403809,2024-12-30,2024-12-31,
Widzew,,POL,1,1361.67919922,2024-12-20,2024-12-31,
Sarpsborg,,NOR,1,1360.72314453,2024-12-20,2024-12-31,
Rizespor,,TUR,1,1359.97949219,2024-12-23,2024-12-31,
Kortrijk,,BEL,1,1359.63977051,2024-12-27,2024-12-31,
